,Ticker,Latest_price,sector,industry,marketCap,trailing_PE_ratio,pegRatio,enterpriseValue,ebitda,ebitdaMargins,profitMargins,revenueGrowth,freeCashflow,operatingCashflow,returnOnAssets,returnOnEquity,enterpriseToRevenue,enterpriseToEbitda,priceToBook,beta,forwardEps,currentRatio,quickRatio,debtToEquity,sharesOutstanding,earningsGrowth,fiveYearAvgDividendYield
77,COHU,31.91,Technology,Semiconductor Equipment & Materials,1553650048.0,9.222543,0.24,1515598976.0,187639008.0,0.20902,0.17968,0.494,85454376.0,91675000.0,0.07388,0.23956,1.688,8.077,1.7815868,1.735428,2.95,3.678,2.796,16.813,48688500.0,,
78,CWH,32.09,Consumer Cyclical,Auto & Truck Dealerships,1439342464.0,10.974692,0.18,4254778112.0,888668992.0,0.13323,0.03982,0.142,92904000.0,391027008.0,0.14692001,3.91771,0.638,4.788,7.132696,3.071168,6.61,1.415,0.283,891.643,44853300.0,0.195,1.67
79,INVA,19.99,Healthcare,Biotechnology,1389149056.0,6.50928,0.45,1556047232.0,357073984.0,0.95306,0.82584,0.103,226441376.0,350712000.0,0.24666001,0.77571,4.153,4.358,3.4483354,0.48,1.61,75.817,75.644,79.769,69492200.0,2.482,
80,GPRO,8.68,Technology,Consumer Electronics,1354045312.0,3.8170626,1.27,1233345280.0,113346000.0,0.100509994,0.32185,0.129,115575376.0,171558000.0,0.07633,1.03986,1.094,10.881,2.4388874,1.092752,0.94,1.626,1.207,51.237,128937000.0,95.0,
81,FINV,4.39,Financial Services,Credit Services,1244020608.0,3.5091925,,-3618130176.0,4651292160.0,0.51094,0.25782,0.408,3619407616.0,1159648000.0,0.18273,0.25887,-0.397,-0.778,0.12539275,0.961295,1.31,15.571,7.088,0.199,283376000.0,0.049,
82,SCHN,42.15,Basic Materials,Steel,1172769024.0,7.450946,0.8,1440956800.0,296224000.0,0.09666,0.06435,0.622,-29653750.0,163226000.0,0.09810001,0.25875,0.47,4.864,1.3885229,1.515458,7.21,1.929,0.927,44.653,27623700.0,2.107,2.93
83,BSIG,24.32,Financial Services,Asset Management,1084163712.0,2.0344653,0.77,1105322112.0,234500000.0,0.33668,1.41737,-0.073,364900000.0,13600000.0,0.07853,0.50716,1.587,4.714,1.790737,1.808831,2.21,7.694,7.616,46.827,44579100.0,5.003,2.37
84,VIVO,24.74,Healthcare,Diagnostics & Research,1076504192.0,15.271605,1.13,899254144.0,116202000.0,0.36553,0.22462,0.188,23100750.0,66865000.0,0.14754,0.24797001,2.829,7.739,3.2677321,0.407792,1.07,4.089,2.191,20.142,43512700.0,-0.009,
85,HESM,29.52,Energy,Oil & Gas Midstream,993743552.0,18.222223,0.65,4091361792.0,844099968.0,0.73144996,0.03128,0.148,338675008.0,746499968.0,0.12486,0.58844,3.545,4.847,5.4464946,1.986097,2.23,0.898,0.819,390.465,33663400.0,0.226,
86,WLKP,27.0,Basic Materials,Chemicals,950788800.0,13.967926,1.71,1672852736.0,455748000.0,0.40330002,0.060229998,0.267,268993984.0,419097984.0,0.15838,0.36679,1.48,3.671,1.8157364,1.125194,2.29,5.338,5.207,44.172,35214400.0,-0.31,7.31
87,SPH,14.82,Utilities,Utilities—Regulated Gas,933121984.0,7.639175,2.13,2182923520.0,317791008.0,0.24659,0.09528,0.254,157862000.0,226552000.0,0.06503,0.31174,1.694,6.869,2.1784506,0.679675,1.66,0.627,0.269,293.221,62963700.0,,11.81
88,FOR,18.61,Real Estate,Real Estate—Development,922892288.0,8.2711115,1.69,1660062208.0,163500000.0,0.12332,0.08312,0.205,178300000.0,-303100000.0,0.05232,0.11707,1.252,10.153,0.9091354,1.917922,3.87,0.954,0.814,70.066,49591200.0,0.77,
89,YALA,6.29,Technology,Software—Application,905319680.0,14.976191,0.16,622622208.0,74402504.0,0.29301,0.28566,1.108,,,0.16174,0.28099,2.452,8.368,3.029865,,0.81,9.318,8.859,,143930000.0,,
90,SCVL,30.81,Consumer Cyclical,Apparel Retail,867772864.0,6.226758,0.76,1024722304.0,212256000.0,0.16701001,0.11152001,0.298,149135008.0,183703008.0,0.17358999,0.38527,0.806,4.828,2.006251,1.422706,3.84,3.063,1.243,52.033,28165300.0,2.216,1.02
91,BXC,85.71,Industrials,Building Products & Equipment,831959552.0,3.4238803,0.13,1276248832.0,380328000.0,0.09121,0.058130004,0.115,80327248.0,107482000.0,0.19758,1.51276,0.306,3.356,2.9530733,1.925907,11.53,3.116,1.311,194.083,9706680.0,-0.171,
92,PTSI,73.77,Industrials,Trucking,823811712.0,13.538263,0.53,1033211392.0,137006000.0,0.21542999,0.098400004,0.501,36213248.0,88440000.0,0.092250004,0.38556,1.625,7.541,4.379081,1.462857,7.2,1.563,1.477,130.111,11167300.0,2.596,
93,SWBI,16.8,Industrials,Aerospace & Defense,811350912.0,3.0956328,0.27,722187648.0,394756448.0,0.36361,0.25721002,-0.073,210539872.0,284835008.0,0.50481,0.97002,0.665,1.829,2.3294508,0.750372,2.78,3.219,1.979,12.537,48294700.0,0.135,
94,GEO,6.54,Real Estate,REIT—Healthcare Facilities,801378880.0,6.2824206,0.54,3486434304.0,413670016.0,0.18166,0.061090004,-0.038,220810624.0,373083008.0,0.03948,0.1425,1.531,8.428,0.7692308,0.690909,1.15,2.218,2.071,302.972,122535000.0,-0.271,11.25
95,NWLI,210.64,Financial Services,Insurance—Life,765891264.0,4.0955048,,-823603968.0,245072000.0,0.29496,0.22507,-0.236,-2595337728.0,91013000.0,0.01081,0.078379996,-0.991,-3.361,0.29961693,1.12,,26.593,12.486,0.042,3436020.0,2.68,0.14
96,DRD,8.8,Basic Materials,Gold,761737728.0,8.365019,,-1427782272.0,2054499968.0,0.38992,0.27328,0.105,737312512.0,1573400064.0,0.18424,0.32501,-0.271,-0.695,0.15612249,1.32987,0.68,5.029,4.356,1.137,85511400.0,0.626,
97,IIIN,38.27,Industrials,Metal Fabrication,742744192.0,11.222874,0.85,695341184.0,103681000.0,0.17555,0.11278,0.239,41438000.0,69878000.0,0.15296,0.23502001,1.177,6.707,2.4590375,1.444675,2.64,3.586,2.292,0.571,19408000.0,2.363,0.47
98,VINP,12.91,Financial Services,Asset Management,734496384.0,19.953632,14.74,-645685056.0,254871008.0,0.5603,0.45705003,0.681,212264000.0,244716992.0,0.15785,0.2604,-1.419,-2.533,0.50969243,,0.89,9.853,9.783,7.038,42447300.0,-0.753,
